Example, Safe, Plcs, Trns, PropSize, R sfty, T sfty, R sfty-int, T sfty-int, R ref, I ref, T ref, R ref-int, I ref-int, T ref-int, R inv, L inv, T inv, R inv-min, MI inv-min, L inv-min, T inv-min, R inv-ref, I inv-ref, L inv-ref, T inv-ref, R inv-ref-min, I inv-ref-min, MI inv-ref-min, L inv-ref-min, T inv-ref-min, R iic, L iic, T iic, R bfc, T bfc, R mist, T mist
dekker_vs_satabs.2, -, 164, 1344, 1, -, 1.04, -, 1.03, -, 0, 1.61, -, 0, 1.61, -, 0, 0.95, -, 0, 0, 0.94, -, 0, 0, 1.60, -, 0, 0, 0, 1.60, TO, , 100000, -, 0.09, TO, 100000
double_lock_p1_vs_satabs.1, -, 64, 204, 1, -, 0.28, -, 0.28, -, 1, 0.90, -, 2, 1.36, -, 0, 0.26, -, 0, 0, 0.28, -, 1, 0, 0.95, -, 1, 0, 0, 0.90, -, , 0.09, -, 0.00, -, 3160.48
double_lock_p1_vs_satabs.2, -, 570, 7600, 1, -, 4.89, -, 11.93, -, 0, 7.24, -, 0, 14.14, -, 0, 3.92, -, 0, 0, 4.37, -, 0, 0, 6.83, -, 0, 0, 0, 6.95, TO, , 100000, -, 1.05, MO, 100000
double_lock_p1_vs_satabs.3, -, 570, 7568, 1, -, 4.72, -, 11.59, -, 0, 7.23, -, 0, 14.29, -, 0, 4.20, -, 0, 0, 4.10, -, 0, 0, 7.11, -, 0, 0, 0, 7.02, TO, , 100000, -, 0.80, MO, 100000
double_lock_p2_vs_satabs.1, -, 64, 212, 1, -, 0.28, -, 0.23, -, 0, 0.45, -, 1, 0.87, -, 0, 0.28, -, 0, 0, 0.27, -, 0, 0, 0.44, -, 0, 0, 0, 0.45, -, , 0.12, -, 0.00, -, 10834.14
double_lock_p2_vs_satabs.2, -, 184, 1832, 1, -, 1.44, -, 1.46, -, 0, 2.19, -, 0, 2.19, -, 0, 1.26, -, 0, 0, 1.29, -, 0, 0, 2.20, -, 0, 0, 0, 2.22, TO, , 100000, -, 0.07, TO, 100000
double_lock_p3_vs_satabs.1, -, 46, 80, 1, -, 0.17, -, 0.19, -, 0, 0.30, -, 0, 0.32, -, 0, 0.20, -, 0, 0, 0.19, -, 0, 0, 0.29, -, 0, 0, 0, 0.30, -, , 0.00, -, 0.00, -, 19.41
double_lock_p3_vs_satabs.2, -, 112, 744, 1, -, 0.64, -, 0.69, -, 1, 1.88, -, 0, 1.01, -, 0, 0.59, -, 0, 0, 0.60, -, 1, 0, 1.93, -, 1, 0, 0, 1.93, TO, , 100000, -, 0.07, ERR, 
double_lock_p3_vs_satabs.3, -, 306, 3136, 1, -, 2.25, -, 2.33, -, 0, 3.67, -, 0, 3.23, -, 0, 2.03, -, 0, 0, 2.07, -, 0, 0, 3.66, -, 0, 0, 0, 3.28, TO, , 100000, -, 0.36, ERR, 
lu-fig2_fixed_vs_satabs.1, -, 39, 36, 1, -, 0.16, -, 0.15, -, 0, 0.27, -, 0, 0.27, -, 0, 0.17, -, 0, 0, 0.18, -, 0, 0, 0.27, -, 0, 0, 0, 0.26, -, , 0.00, -, 0.00, ERR, 
