Example, Safe, Plcs, Trns, PropSize, R sfty, T sfty, R sfty-int, T sfty-int, R ref, I ref, T ref, R ref-int, I ref-int, T ref-int, R inv, L inv, T inv, R inv-min, MI inv-min, L inv-min, T inv-min, R inv-ref, I inv-ref, L inv-ref, T inv-ref, R inv-ref-min, I inv-ref-min, MI inv-ref-min, L inv-ref-min, T inv-ref-min, R iic, L iic, T iic, R bfc, T bfc, R mist, T mist
x0_BUG_REPORT_q1, +, 754, 27370, 1, +, 21.35, +, 21.39, +, 0, 21.41, +, 0, 20.77, +, 16, 29.11, +, 0, 16, 43.03, +, 0, 16, 51.00, +, 0, 0, 16, 63.88, MO, , 100000, , , MO, 100000
x0_BUG_REPORT_q3, +, 754, 27370, 1, +, 21.43, +, 21.15, +, 0, 21.88, +, 0, 21.06, +, 16, 29.02, +, 0, 16, 44.32, +, 0, 16, 50.44, +, 0, 0, 16, 65.39, MO, , 100000, , , MO, 100000
x0_BUG_REPORT_q5, +, 754, 27370, 1, +, 21.21, +, 21.17, +, 0, 21.56, +, 0, 21.26, +, 16, 28.83, +, 0, 16, 41.61, +, 0, 16, 49.95, +, 0, 0, 16, 63.75, MO, , 100000, , , MO, 100000
x0_BUG_REPORT_q6, +, 754, 27370, 1, +, 21.28, +, 21.16, +, 0, 21.95, +, 0, 20.97, +, 16, 27.95, +, 0, 16, 43.72, +, 0, 16, 50.02, +, 0, 0, 16, 64.74, MO, , 100000, , , MO, 100000
x0_BUG_REPORT_q8, +, 754, 27370, 1, -, 21.88, -, 46.36, -, 0, 29.77, -, 0, 54.79, -, 0, 21.62, -, 0, 0, 21.58, -, 0, 0, 29.48, -, 0, 0, 0, 29.75, MO, , 100000, , , MO, 100000
x0_CLOSED_q1, +, 754, 27370, 1, +, 21.16, +, 21.28, +, 0, 21.53, +, 0, 20.98, +, 2, 28.63, +, 0, 2, 42.42, +, 0, 2, 49.98, +, 0, 0, 2, 64.81, MO, , 100000, , , MO, 100000
x0_CLOSED_q3, +, 754, 27370, 1, +, 21.19, +, 20.86, +, 0, 21.60, +, 0, 21.18, +, 2, 28.72, +, 0, 2, 44.17, +, 0, 2, 50.48, +, 0, 0, 2, 66.06, MO, , 100000, , , MO, 100000
x0_CLOSED_q5, +, 754, 27370, 1, +, 21.48, +, 21.24, +, 0, 21.34, +, 0, 21.26, +, 2, 29.04, +, 0, 2, 43.71, +, 0, 2, 49.97, +, 0, 0, 2, 64.69, MO, , 100000, , , MO, 100000
x0_CLOSED_q6, +, 754, 27370, 1, +, 21.86, +, 21.29, +, 0, 21.53, +, 0, 21.64, +, 2, 29.35, +, 0, 2, 44.42, +, 0, 2, 49.77, +, 0, 0, 2, 67.07, MO, , 100000, , , MO, 100000
x0_CLOSED_q8, +, 754, 27370, 1, -, 22.10, -, 47.59, -, 2, 65.92, -, 0, 53.39, -, 0, 21.41, -, 0, 0, 21.49, -, 2, 0, 66.50, -, 2, 0, 0, 66.05, MO, , 100000, , , MO, 100000
x0_FIXED_q1, +, 754, 27370, 1, +, 21.89, +, 20.86, +, 0, 21.41, +, 0, 20.98, +, 2, 28.48, +, 0, 2, 40.23, +, 0, 2, 50.35, +, 0, 0, 2, 62.74, MO, , 100000, , , MO, 100000
x0_FIXED_q3, +, 754, 27370, 1, +, 21.18, +, 21.15, +, 0, 21.86, +, 0, 20.95, +, 2, 28.95, +, 0, 2, 43.50, +, 0, 2, 50.33, +, 0, 0, 2, 64.79, MO, , 100000, , , MO, 100000
x0_FIXED_q5, +, 754, 27370, 1, +, 21.57, +, 20.97, +, 0, 21.44, +, 0, 21.22, +, 2, 28.65, +, 0, 2, 44.71, +, 0, 2, 50.58, +, 0, 0, 2, 65.98, MO, , 100000, , , MO, 100000
x0_FIXED_q6, +, 754, 27370, 1, +, 21.62, +, 21.37, +, 0, 21.75, +, 0, 21.08, +, 2, 28.69, +, 0, 2, 41.35, +, 0, 2, 50.44, +, 0, 0, 2, 62.95, MO, , 100000, , , MO, 100000
x0_FIXED_q8, +, 754, 27370, 1, -, 22.07, -, 46.31, -, 0, 29.83, -, 0, 53.88, -, 0, 21.42, -, 0, 0, 21.74, -, 0, 0, 29.36, -, 0, 0, 0, 29.39, MO, , 100000, , , MO, 100000
x0_FIX_AGAIN_q1, +, 754, 27370, 1, +, 21.52, +, 21.31, +, 0, 21.29, +, 0, 20.56, +, 2, 28.87, +, 0, 2, 43.22, +, 0, 2, 50.38, +, 0, 0, 2, 65.53, MO, , 100000, , , MO, 100000
x0_FIX_AGAIN_q3, +, 754, 27370, 1, +, 21.49, +, 21.30, +, 0, 21.62, +, 0, 21.12, +, 2, 29.08, +, 0, 2, 40.98, +, 0, 2, 50.36, +, 0, 0, 2, 62.02, MO, , 100000, , , MO, 100000
x0_FIX_AGAIN_q5, +, 754, 27370, 1, +, 21.15, +, 22.10, +, 0, 21.59, +, 0, 20.41, +, 2, 29.59, +, 0, 2, 39.11, +, 0, 2, 50.52, +, 0, 0, 2, 59.91, MO, , 100000, , , MO, 100000
x0_FIX_AGAIN_q6, +, 754, 27370, 1, +, 21.08, +, 21.08, +, 0, 21.59, +, 0, 20.94, +, 2, 29.48, +, 0, 2, 39.42, +, 0, 2, 49.93, +, 0, 0, 2, 61.65, MO, , 100000, , , MO, 100000
x0_FIX_AGAIN_q8, +, 754, 27370, 1, -, 22.69, -, 45.80, -, 0, 29.24, -, 0, 53.75, -, 0, 21.51, -, 0, 0, 21.38, -, 0, 0, 29.45, -, 0, 0, 0, 29.53, MO, , 100000, , , MO, 100000
x0_MORE_INFO_q1, +, 754, 27370, 1, +, 21.32, +, 21.16, +, 0, 22.12, +, 0, 21.19, +, 2, 28.86, +, 0, 2, 42.14, +, 0, 2, 49.82, +, 0, 0, 2, 64.02, MO, , 100000, , , MO, 100000
x0_MORE_INFO_q3, +, 754, 27370, 1, +, 21.36, +, 20.84, +, 0, 21.38, +, 0, 20.60, +, 2, 29.03, +, 0, 2, 41.00, +, 0, 2, 51.27, +, 0, 0, 2, 62.54, MO, , 100000, , , MO, 100000
x0_MORE_INFO_q5, +, 754, 27370, 1, +, 21.00, +, 21.02, +, 0, 21.66, +, 0, 21.03, +, 2, 29.08, +, 0, 2, 40.09, +, 0, 2, 50.03, +, 0, 0, 2, 61.67, MO, , 100000, , , MO, 100000
x0_MORE_INFO_q6, +, 754, 27370, 1, +, 21.74, +, 21.36, +, 0, 21.48, +, 0, 21.26, +, 2, 28.72, +, 0, 2, 40.36, +, 0, 2, 50.23, +, 0, 0, 2, 61.31, MO, , 100000, , , MO, 100000
x0_MORE_INFO_q8, +, 754, 27370, 1, -, 21.74, -, 46.84, -, 0, 28.37, -, 0, 53.56, -, 0, 22.08, -, 0, 0, 21.79, -, 0, 0, 28.94, -, 0, 0, 0, 29.67, MO, , 100000, , , MO, 100000
x0_MUST_FIX_q1, +, 754, 27370, 1, +, 21.25, +, 21.16, +, 0, 21.55, +, 0, 20.53, +, 2, 28.60, +, 0, 2, 43.06, +, 0, 2, 50.34, +, 0, 0, 2, 64.89, MO, , 100000, , , MO, 100000
x0_MUST_FIX_q3, +, 754, 27370, 1, +, 21.21, +, 21.04, +, 0, 21.27, +, 0, 20.77, +, 2, 28.67, +, 0, 2, 41.82, +, 0, 2, 50.28, +, 0, 0, 2, 63.42, MO, , 100000, , , MO, 100000
x0_MUST_FIX_q5, +, 754, 27370, 1, +, 21.15, +, 21.08, +, 0, 21.66, +, 0, 20.72, +, 2, 28.86, +, 0, 2, 46.08, +, 0, 2, 50.08, +, 0, 0, 2, 67.01, MO, , 100000, , , MO, 100000
x0_MUST_FIX_q6, +, 754, 27370, 1, +, 21.20, +, 20.99, +, 0, 21.14, +, 0, 21.28, +, 2, 28.97, +, 0, 2, 45.36, +, 0, 2, 50.00, +, 0, 0, 2, 67.08, MO, , 100000, , , MO, 100000
x0_MUST_FIX_q8, +, 754, 27370, 1, -, 21.93, -, 46.46, -, 0, 29.12, -, 1, 99.93, -, 0, 21.81, -, 0, 0, 21.74, -, 0, 0, 29.26, -, 0, 0, 0, 29.58, MO, , 100000, , , MO, 100000
x0_PENDING_q1, +, 754, 27370, 1, +, 21.59, +, 21.12, +, 0, 21.65, +, 0, 20.98, +, 2, 28.91, +, 0, 2, 41.95, +, 0, 2, 50.87, +, 0, 0, 2, 63.76, MO, , 100000, , , MO, 100000
x0_PENDING_q3, +, 754, 27370, 1, +, 21.59, +, 21.13, +, 0, 21.94, +, 0, 20.92, +, 2, 28.98, +, 0, 2, 43.56, +, 0, 2, 50.59, +, 0, 0, 2, 65.24, MO, , 100000, , , MO, 100000
x0_PENDING_q3_buggy, -, 754, 27370, 1, -, 22.72, -, 45.33, -, 0, 29.99, -, 0, 52.25, -, 0, 21.35, -, 0, 0, 21.57, -, 0, 0, 29.38, -, 0, 0, 0, 29.33, MO, , 100000, , , MO, 100000
x0_PENDING_q5, +, 754, 27370, 1, +, 21.56, +, 21.00, +, 0, 21.54, +, 0, 21.13, +, 2, 28.64, +, 0, 2, 46.14, +, 0, 2, 50.27, +, 0, 0, 2, 67.39, MO, , 100000, , , MO, 100000
x0_PENDING_q6, +, 754, 27370, 1, +, 21.55, +, 21.17, +, 0, 21.71, +, 0, 21.28, +, 2, 28.66, +, 0, 2, 47.30, +, 0, 2, 50.20, +, 0, 0, 2, 68.82, MO, , 100000, , , MO, 100000
x0_PENDING_q8, +, 754, 27370, 1, -, 22.11, -, 47.35, -, 0, 29.45, -, 1, 96.09, -, 0, 21.36, -, 0, 0, 21.73, -, 0, 0, 29.13, -, 0, 0, 0, 29.72, MO, , 100000, , , MO, 100000
x0_VERIFIED_q1, +, 754, 27370, 1, +, 21.44, +, 21.03, +, 0, 21.24, +, 0, 21.33, +, 2, 29.47, +, 0, 2, 42.13, +, 0, 2, 50.67, +, 0, 0, 2, 61.87, MO, , 100000, , , MO, 100000
x0_VERIFIED_q3, +, 754, 27370, 1, +, 21.55, +, 21.20, +, 0, 21.65, +, 0, 20.91, +, 2, 28.87, +, 0, 2, 43.92, +, 0, 2, 49.41, +, 0, 0, 2, 64.93, MO, , 100000, , , MO, 100000
x0_VERIFIED_q5, +, 754, 27370, 1, +, 21.11, +, 21.10, +, 0, 21.24, +, 0, 21.22, +, 2, 29.69, +, 0, 2, 46.11, +, 0, 2, 49.14, +, 0, 0, 2, 66.95, MO, , 100000, , , MO, 100000
x0_VERIFIED_q6, +, 754, 27370, 1, +, 21.30, +, 21.20, +, 0, 21.14, +, 0, 20.98, +, 2, 28.96, +, 0, 2, 43.41, +, 0, 2, 50.04, +, 0, 0, 2, 64.68, MO, , 100000, , , MO, 100000
x0_VERIFIED_q8, +, 754, 27370, 1, -, 22.51, -, 47.74, -, 0, 29.43, -, 1, 95.02, -, 0, 21.97, -, 0, 0, 21.73, -, 0, 0, 29.27, -, 0, 0, 0, 29.80, MO, , 100000, , , MO, 100000
concdb__single_client_writes__depth_0, +, 553, 150, 1, +, 0.35, +, 0.33, +, 0, 0.34, +, 0, 0.33, +, 33, 0.65, +, 0, 33, 1.38, +, 0, 33, 1.01, +, 0, 0, 33, 1.82, TO, , 100000, +, 77.49, TO, 100000
concdb__single_client_writes__depth_1, +, 1440, 672, 1, +, 0.89, +, 0.86, +, 0, 0.90, +, 0, 0.88, +, 157, 1.52, +, 0, 157, 4.59, +, 0, 157, 2.45, +, 0, 0, 157, 5.51, TO, , 100000, MO, 100000, MO, 100000
concdb__single_client_writes__depth_2, +, 4763, 2478, 1, +, 3.62, +, 2.66, +, 0, 3.86, +, 0, 3.16, +, 814, 4.62, +, 0, 814, 39.11, +, 0, 814, 8.74, +, 0, 0, 814, 42.33, MO, , 100000, MO, 100000, ERR, 
finite_leader__single_leader__depth_0, -, 294, 80, 1, -, 0.28, -, 0.26, -, 1, 0.82, -, 1, 0.79, -, 0, 0.23, -, 0, 0, 0.25, -, 1, 0, 0.81, -, 1, 0, 0, 0.81, -, , 17.37, -, 0.01, TO, 100000
finite_leader__single_leader__depth_1, +, 447, 122, 1, +, 0.30, +, 0.29, +, 0, 0.30, +, 0, 0.30, +, 37, 0.60, +, 0, 37, 1.59, +, 0, 37, 0.93, +, 0, 0, 37, 1.90, TO, , 100000, +, 0.73, TO, 100000
finite_leader__single_leader__depth_2, +, 447, 122, 1, +, 0.29, +, 0.31, +, 0, 0.31, +, 0, 0.31, +, 37, 0.59, +, 0, 37, 1.66, +, 0, 37, 0.90, +, 0, 0, 37, 1.82, TO, , 100000, +, 0.74, TO, 100000
firewall__no_pred_called_with_zero__depth_0, -, 352, 56, 1, -, 0.24, -, 0.26, -, 1, 0.79, -, 1, 0.78, -, 0, 0.23, -, 0, 0, 0.23, -, 1, 0, 0.82, -, 1, 0, 0, 0.76, -, , 0.51, -, 0.00, TO, 100000
firewall__no_pred_called_with_zero__depth_1, +, 780, 165, 1, +, 0.37, +, 0.38, +, 0, 0.39, +, 0, 0.37, +, 1, 0.74, +, 0, 1, 1.99, +, 0, 1, 1.14, +, 0, 0, 1, 2.55, +, 1, 0.03, +, 3.30, +, 0.28
firewall__no_pred_called_with_zero__depth_2, +, 4014, 1417, 1, +, 2.00, +, 1.94, +, 0, 1.99, +, 0, 1.96, +, 1, 3.31, +, 0, 1, 30.24, +, 0, 1, 5.11, +, 0, 0, 1, 31.93, +, 1, 1.57, MO, 100000, MO, 100000
howait__all_workers_finished_if_wait_over__depth_0, -, 216, 49, 1, -, 0.20, -, 0.21, -, 1, 0.70, -, 1, 0.71, -, 0, 0.20, -, 0, 0, 0.21, -, 1, 0, 0.68, -, 1, 0, 0, 0.70, -, , 0.77, -, 0.00, MO, 100000
howait__all_workers_finished_if_wait_over__depth_1, -, 768, 706, 1, -, 0.82, -, 0.70, -, 1, 2.28, -, 1, 2.31, -, 0, 0.73, -, 0, 0, 0.67, -, 1, 0, 2.33, -, 1, 0, 0, 2.29, TO, , 100000, -, 0.08, ERR, 
howait__all_workers_finished_if_wait_over__depth_2, -, 1621, 2397, 1, -, 2.65, -, 2.83, -, 3, 12.62, -, 9, 29.00, -, 0, 2.28, -, 0, 0, 2.24, -, 3, 0, 12.78, -, 3, 0, 0, 12.84, TO, , 100000, -, 13.96, MO, 100000
parikh__should_already_be_initialized__depth_0, +, 77, 32, 1, +, 0.19, +, 0.17, +, 0, 0.13, +, 0, 0.10, +, 17, 0.40, +, 0, 17, 0.53, +, 0, 17, 0.58, +, 0, 0, 17, 0.64, +, 202, 0.16, +, 0.00, MO, 100000
parikh__should_already_be_initialized__depth_1, +, 88, 40, 1, +, 0.19, +, 0.19, +, 0, 0.19, +, 0, 0.18, +, 22, 0.41, +, 0, 22, 0.51, +, 0, 22, 0.59, +, 0, 0, 22, 0.71, +, 273, 0.16, +, 0.00, MO, 100000
parikh__should_already_be_initialized__depth_2, +, 88, 40, 1, +, 0.16, +, 0.17, +, 0, 0.18, +, 0, 0.16, +, 22, 0.41, +, 0, 22, 0.53, +, 0, 22, 0.56, +, 0, 0, 22, 0.70, +, 273, 0.15, +, 0.00, MO, 100000
pipe__single_message_in_mailbox__depth_0, +, 211, 29, 1, +, 0.20, +, 0.17, +, 0, 0.15, +, 0, 0.19, +, 10, 0.44, +, 0, 10, 0.69, +, 0, 10, 0.61, +, 0, 0, 10, 0.86, +, 302, 0.11, +, 0.00, +, 819.20
pipe__single_message_in_mailbox__depth_1, +, 2072, 2008, 1, +, 2.40, +, 2.06, +, 0, 2.35, +, 0, 2.26, +, 307, 3.21, +, 0, 307, 9.76, +, 0, 307, 5.54, +, 0, 0, 307, 11.60, TO, , 100000, MO, 100000, MO, 100000
pipe__single_message_in_mailbox__depth_2, +, 1382, 719, 1, +, 0.93, +, 0.93, +, 0, 0.92, +, 0, 0.94, +, 211, 1.54, +, 0, 211, 3.74, +, 0, 211, 2.50, +, 0, 0, 211, 4.48, TO, , 100000, MO, 100000, MO, 100000
reslock__critical__depth_0, +, 361, 58, 1, +, 0.26, +, 0.16, +, 0, 0.21, +, 0, 0.21, +, 25, 0.53, +, 0, 25, 0.94, +, 0, 25, 0.80, +, 0, 0, 25, 1.21, TO, , 100000, +, 0.86, TO, 100000
reslock__critical__depth_1, +, 591, 160, 1, +, 0.29, +, 0.35, +, 0, 0.35, +, 0, 0.35, +, 27, 0.70, +, 0, 27, 1.67, +, 0, 27, 1.04, +, 0, 0, 27, 2.01, TO, , 100000, +, 19.64, TO, 100000
reslock__critical__depth_2, +, 828, 279, 1, +, 0.50, +, 0.48, +, 0, 0.48, +, 0, 0.48, +, 30, 0.86, +, 0, 30, 2.47, +, 0, 30, 1.36, +, 0, 0, 30, 3.01, TO, , 100000, MO, 100000, TO, 100000
reslockbeh__critical__depth_0, +, 730, 63, 1, +, 0.33, +, 0.31, +, 0, 0.33, +, 0, 0.31, +, 25, 0.67, +, 0, 25, 1.80, +, 0, 25, 0.96, +, 0, 0, 25, 2.21, TO, , 100000, +, 1.10, TO, 100000
reslockbeh__critical__depth_1, +, 4461, 186, 1, +, 1.13, +, 1.07, +, 0, 1.13, +, 0, 1.06, +, 27, 1.97, +, 0, 27, 33.72, +, 0, 27, 3.09, +, 0, 0, 27, 33.30, MO, , 100000, +, 21.15, ERR, 
reslockbeh__critical__depth_2, +, 10194, 314, 1, +, 2.23, +, 2.23, +, 0, 2.24, +, 0, 1.92, +, 29, 3.70, +, 0, 29, 121.75, +, 0, 29, 6.13, +, 0, 0, 29, 117.77, MO, , 100000, MO, 100000, ERR, 
ring__single_message_in_mailbox__depth_0, +, 385, 59, 1, +, 0.25, +, 0.26, +, 0, 0.25, +, 0, 0.24, +, 23, 0.53, +, 0, 23, 1.06, +, 0, 23, 0.78, +, 0, 0, 23, 1.33, +, 859, 69544.42, +, 0.36, MO, 100000
ring__single_message_in_mailbox__depth_1, +, 6690, 11934, 1, +, 19.20, +, 18.39, +, 0, 18.54, +, 0, 18.47, +, 85, 22.11, +, 0, 85, 96.79, +, 0, 85, 39.95, +, 0, 0, 85, 115.44, MO, , 100000, MO, 100000, ERR, 
ring__single_message_in_mailbox__depth_2, +, 66950, 213625, 1, +, 6980.90, +, 6887.00, +, 0, 6867.40, +, 0, 6904.03, +, 339, 7813.76, +, 0, 339, 8129.70, +, 0, 339, 13841.95, +, 0, 0, 339, 15508.68, ERR, , , MO, 100000, ERR, 
safe_send__sending_to_non-pid_1__depth_1, +, 275, 119, 1, -, 0.28, -, 0.28, +, 3, 1.65, +, 2, 1.20, -, 0, 0.26, -, 0, 0, 0.26, +, 3, 225, 2.19, +, 3, 7, 218, 5.87, TO, , 100000, +, 0.00, TO, 100000
safe_send__sending_to_non-pid_1__depth_2, +, 275, 119, 1, -, 0.28, -, 0.27, +, 3, 1.61, +, 2, 1.14, -, 0, 0.26, -, 0, 0, 0.28, +, 3, 225, 2.22, +, 3, 7, 218, 5.82, TO, , 100000, +, 0.00, TO, 100000
safe_send__sending_to_non-pid_2__depth_1, +, 275, 119, 1, -, 0.27, -, 0.20, +, 3, 1.63, +, 3, 1.61, -, 0, 0.25, -, 0, 0, 0.25, +, 3, 221, 2.18, +, 3, 4, 217, 3.84, +, 643, 131.79, +, 0.01, TO, 100000
safe_send__sending_to_non-pid_2__depth_2, +, 275, 119, 1, -, 0.28, -, 0.22, +, 3, 1.59, +, 3, 1.58, -, 0, 0.25, -, 0, 0, 0.22, +, 3, 221, 2.18, +, 3, 4, 217, 3.93, +, 643, 138.00, +, 0.00, TO, 100000
safe_send__sending_to_non-pid_3__depth_1, +, 275, 119, 1, +, 0.27, +, 0.26, +, 0, 0.27, +, 0, 0.27, +, 16, 0.55, +, 0, 16, 0.91, +, 0, 16, 0.79, +, 0, 0, 16, 1.15, +, 1897, 69.39, +, 0.01, TO, 100000
safe_send__sending_to_non-pid_3__depth_2, +, 275, 119, 1, +, 0.27, +, 0.26, +, 0, 0.25, +, 0, 0.26, +, 16, 0.53, +, 0, 16, 0.90, +, 0, 16, 0.84, +, 0, 0, 16, 1.16, +, 1897, 77.26, +, 0.01, TO, 100000
safe_send__sending_to_non-pid_4__depth_1, +, 275, 119, 1, -, 0.30, -, 0.26, -, 4, 2.17, +, 9, 4.32, -, 0, 0.27, -, 0, 0, 0.26, -, 4, 0, 2.22, -, 4, 0, 0, 2.22, +, 5360, 283.46, +, 0.00, TO, 100000
safe_send__sending_to_non-pid_4__depth_2, +, 275, 119, 1, -, 0.28, -, 0.28, -, 4, 2.17, +, 9, 4.19, -, 0, 0.26, -, 0, 0, 0.27, -, 4, 0, 2.17, -, 4, 0, 0, 2.21, +, 5360, 320.75, +, 0.01, TO, 100000
safe_send__sending_to_non-pid__depth_0, -, 120, 57, 1, -, 0.21, -, 0.19, -, 1, 0.66, -, 1, 0.65, -, 0, 0.18, -, 0, 0, 0.17, -, 1, 0, 0.55, -, 1, 0, 0, 0.67, -, , 0.37, -, 0.00, TO, 100000
sieve__single_message_in_counter_mailbox__depth_0, +, 262, 73, 1, +, 0.24, +, 0.24, +, 0, 0.24, +, 0, 0.24, +, 36, 0.48, +, 0, 36, 0.78, +, 0, 36, 0.68, +, 0, 0, 36, 1.01, +, 2393, 9639.08, +, 2.24, TO, 100000
sieve__single_message_in_counter_mailbox__depth_1, +, 1295, 749, 1, +, 0.94, +, 0.81, +, 0, 0.83, +, 0, 0.92, +, 134, 1.48, +, 0, 134, 5.01, +, 0, 134, 2.27, +, 0, 0, 134, 5.98, TO, , 100000, MO, 100000, TO, 100000
sieve__single_message_in_counter_mailbox__depth_2, +, 2398, 1954, 1, +, 2.45, +, 1.95, +, 0, 2.21, +, 0, 2.39, +, 224, 3.43, +, 0, 224, 14.82, +, 0, 224, 5.47, +, 0, 0, 224, 17.00, MO, , 100000, MO, 100000, MO, 100000
sieve__single_message_in_filter_mailbox__depth_0, +, 262, 74, 1, +, 0.24, +, 0.22, +, 0, 0.25, +, 0, 0.25, +, 36, 0.51, +, 0, 36, 0.89, +, 0, 36, 0.77, +, 0, 0, 36, 1.11, +, 2830, 21229.03, +, 1.31, TO, 100000
sieve__single_message_in_sieve_mailbox__depth_0, +, 262, 72, 1, +, 0.25, +, 0.25, +, 0, 0.24, +, 0, 0.21, +, 36, 0.49, +, 0, 36, 0.84, +, 0, 36, 0.77, +, 0, 0, 36, 1.10, TO, , 100000, +, 1.10, TO, 100000
